DATE,AAPL US Equity,MSFT US Equity,FB US Equity,GOOGL US Equity,V US Equity,INTC US Equity,CSCO US Equity,MA US Equity,JNJ US Equity,UNH US Equity,PFE US Equity,MRK US Equity,BRK/B US Equity,JPM US Equity,BAC  US Equity,WFC US Equity,AMZN US Equity,HD US Equity,DIS US Equity,NFLX US Equity,BA US Equity,MMM US Equity,GE US Equity,PG US Equity,KO US Equity,XOM US Equity,CVX US Equity,NEE US Equity,AMT US Equity,DWDP US Equity,T US Equity
2005-01-25,5.1464,26.02,#N/A N/A,88.646,#N/A N/A,22.26,17.51,#N/A N/A,63.72,43.875,24.59,30.95,59.7,36.86,45.59,30.165,40.94,40.57,28.4171,1.619,49.84,82.82,35.7,55.73,20.62,51.33,53.04,36.915,18.09,48.71,24.45
2005-01-26,5.1607,26.01,#N/A N/A,94.712,#N/A N/A,22.42,17.69,#N/A N/A,64.65,43.9,24.59,31.17,59.28,36.83,45.77,30.435,41.34,40.73,28.2,1.576,49.86,83.42,35.49,55.44,20.84,51.7,53.54,37.575,18.1,48.74,24.58
2005-01-27,5.1886,26.11,#N/A N/A,94.131,#N/A N/A,22.31,18.18,#N/A N/A,64.22,44.23,24.68,31.18,58.84,36.75,45.53,30.215,42.31,40.66,27.9237,1.601,50.97,82.89,35.61,55.32,20.88,51.75,54.06,37.59,18.22,48.56,23.67
2005-01-28,5.2843,26.18,#N/A N/A,95.262,#N/A N/A,22.24,17.9,#N/A N/A,64.62,44.075,24.35,28.02,60,37,45.7,30.26,42.22,40.41,27.8547,1.634,49.92,83.25,35.75,54.15,20.745,51.27,53.72,37.78,18.23,49.18,23.62
2005-01-31,5.4929,26.28,#N/A N/A,97.905,#N/A N/A,22.45,18.04,#N/A N/A,64.7,44.45,24.16,28.05,59.88,37.33,46.37,30.65,43.22,41.26,28.2494,1.643,50.6,84.36,36.13,53.23,20.745,51.6,54.4,38.32,18.12,49.7,23.76
2005-02-01,5.5379,26.39,#N/A N/A,96.043,#N/A N/A,22.6298,18.13,#N/A N/A,65.42,45.34,23.86,27.83,60.34,37.5,46.68,30.9,42.48,41.14,28.4171,1.64,51.04,84.08,36.28,52.87,20.71,53.27,55.15,38.845,18.24,50.82,23.92
2005-02-02,5.6879,26.46,#N/A N/A,103.08,#N/A N/A,22.58,18.15,#N/A N/A,66,45,24.07,28.46,60.08,37.52,46.73,30.39,41.88,41.3,28.4467,1.603,52.23,83.34,36.25,53.4,20.96,53.93,55.53,39.1,17.98,51.53,24.39
2005-02-03,5.5579,26.18,#N/A N/A,105.532,#N/A N/A,22.38,17.52,#N/A N/A,65.65,45.28,23.91,28.41,60.08,37.39,46.4,30.525,35.75,41.57,28.4171,1.7,52,83.34,36.07,53.24,20.87,54.52,56.24,39.38,17.83,51.15,24.62
2005-02-04,5.6314,26.32,#N/A N/A,102.279,#N/A N/A,23,17.9,#N/A N/A,66.24,45.885,24.23,28.35,60.49,37.69,46.89,30.49,35.72,42.42,28.9203,1.717,52.58,84.08,36.25,52.62,21.235,55.29,56.74,39.85,18.03,51.73,24.6
2005-02-07,5.6386,26.16,#N/A N/A,98.11,#N/A N/A,22.91,18.16,#N/A N/A,66.45,44.465,24.91,28.43,60.86,37.97,46.64,30.71,35.69,42.52,29.4827,1.647,52.5,83.88,36.23,52.53,21.245,55.4,56.26,39.61,17.8,51.59,24.47
